unfreeze_percentage,cnn_unlock_epoch,zoom_range,optimizer,num_dense_units_2,run_name,num_dense_units_1,base_model,num_dense_layers,activation,height_shift_range,final_val_error,width_shift_range,batch_size,cnn_learning_rate,rotation_range,num_dense_units_0,learning_rate
0.1,20,0.1554912340457438,RMSProp,1024,run_2018-02-08-010809_,1024,MobileNet,3,relu,0.055980105879955895,0.3761467791478569,0.27140720440487426,16,0.0001,18,1024,0.001
0.1,20,0.10406673971259911,RMSProp,1024,run_2018-02-08-004256_,1024,MobileNet,3,relu,0.16281275623599978,0.8715596326857532,0.2554856560959731,16,0.0001,28,1024,0.001
0.1,20,0.1165708106150061,RMSProp,1024,run_2018-02-08-012246_,1024,MobileNet,3,relu,0.23925805326086907,0.9357798161719917,0.04371894619447757,16,0.0001,29,1024,0.001
0.1,20,0.2826394970517304,RMSProp,1024,run_2018-02-08-005209_,1024,MobileNet,3,relu,0.2312788442246552,0.8715596330275229,0.19708180693048902,16,0.0001,19,1024,0.001
0.1,20,0.12081999734874033,RMSProp,1024,run_2018-02-08-012448_,1024,MobileNet,3,relu,0.26959791162457786,0.8899082549668234,0.051757326846408144,16,0.0001,27,1024,0.001
0.1,20,0.0939663568243732,RMSProp,1024,run_2018-02-08-005020_,1024,MobileNet,3,relu,0.02012692136949289,0.9174311926605505,0.07984001651249267,16,0.0001,11,1024,0.001
0.1,20,0.20855240398430377,RMSProp,1024,run_2018-02-08-004437_,1024,MobileNet,3,relu,0.03357349097249068,0.8715596330275229,0.059363817246534556,16,0.0001,15,1024,0.001
0.1,20,0.14435467515317807,RMSProp,1024,run_2018-02-08-012259_,1024,MobileNet,3,relu,0.1683912598991871,0.9357798165137614,0.2549023239021965,16,0.0001,18,1024,0.001
0.1,20,0.08030700258055869,RMSProp,1024,run_2018-02-08-004239_,1024,MobileNet,3,relu,0.22964369107704802,0.9082568803921752,0.24190003080330444,16,0.0001,15,1024,0.001
0.1,20,0.2640716371945671,RMSProp,1024,run_2018-02-08-022631_,1024,MobileNet,3,relu,0.10698021450954977,0.3669724748768938,0.09150313722006022,16,0.0001,17,1024,0.001
0.1,20,0.0597011988769538,RMSProp,1024,run_2018-02-08-013034_,1024,MobileNet,3,relu,0.058369378632855226,0.8899082568807339,0.2746186352351939,16,0.0001,27,1024,0.001
0.1,20,0.042907672136830374,RMSProp,1024,run_2018-02-08-004646_,1024,MobileNet,3,relu,0.015571075640752252,0.9266055042453862,0.12620513395170427,16,0.0001,23,1024,0.001
0.1,20,0.13319584803641926,RMSProp,1024,run_2018-02-08-021957_,1024,MobileNet,3,relu,0.019549548550742733,0.8990825684655697,0.1146480643501685,16,0.0001,4,1024,0.001
0.1,20,0.18479240738456665,RMSProp,1024,run_2018-02-08-015132_,1024,MobileNet,3,relu,0.1585808826973257,0.8990825684655697,0.2867877952770104,16,0.0001,25,1024,0.001
0.1,20,0.11894266327461084,RMSProp,1024,run_2018-02-08-014156_,1024,MobileNet,3,relu,0.03530174930522142,0.8807339442705889,0.018178277551122533,16,0.0001,27,1024,0.001
0.1,20,0.03942036261362738,RMSProp,1024,run_2018-02-08-012917_,1024,MobileNet,3,relu,0.2780348838315061,0.8807339446123587,0.19020944289478864,16,0.0001,15,1024,0.001
