rotation_range,activation,cnn_unlock_epoch,base_model,num_dense_units_0,learning_rate,final_val_error,zoom_range,batch_size,height_shift_range,optimizer,epochs,cnn_learning_rate,run_name,width_shift_range,num_dense_layers,num_dense_units_1,unfreeze_percentage
24,relu,16,InceptionResNetV2,130,0.007985255741819025,0.7532467522791454,0.273,23,0.267,SGD,8,6.989110699041067e-05,run_2018-02-08-145020_,0.013,2,200,0.25532759512202996
24,tanh,18,Xception,478,0.001375852644601434,0.8125,0.273,41,0.267,RMSProp,2,2.2338400249519212e-05,run_2018-02-08-141015_,0.013,3,124,0.21569214652187058
24,tanh,26,InceptionResNetV2,217,0.009687922303122322,0.875,0.273,47,0.267,SGD,4,1.3453701264303557e-05,run_2018-02-08-134528_,0.013,2,403,0.15514314407219834
24,tanh,25,InceptionResNetV2,991,0.001610620067654615,0.84375,0.273,52,0.267,Adam,2,5.197330375717934e-05,run_2018-02-08-133636_,0.013,3,328,0.2614660309066346
24,tanh,29,Xception,288,0.0008316085126480701,0.7792207782531714,0.273,22,0.267,RMSProp,2,8.231586126347911e-05,run_2018-02-08-141358_,0.013,3,410,0.21998130902293425
24,tanh,26,InceptionResNetV2,217,0.009687922303122322,0.8125,0.273,47,0.267,SGD,2,1.3453701264303557e-05,run_2018-02-08-133759_,0.013,2,403,0.15514314407219834
24,tanh,19,ResNet50,185,0.0017329097481894185,0.90625,0.273,34,0.267,RMSProp,2,8.589919011604674e-05,run_2018-02-08-140852_,0.013,3,74,0.1472227313466878
24,tanh,23,InceptionResNetV2,372,0.00026835738398635247,0.8807339442705889,0.273,16,0.267,Adam,1,8.451343082591651e-05,run_2018-02-08-132842_,0.013,3,149,0.2020157313067293
24,tanh,22,MobileNet,498,0.00025648462216023524,0.4675324628879498,0.273,21,0.267,RMSProp,4,0.000134233839888681,run_2018-02-08-134137_,0.013,3,100,0.10035949091721118
24,relu,22,MobileNet,769,0.0018384570315878026,0.3486238504768512,0.273,19,0.267,Adam,8,1.1252978052325498e-05,run_2018-02-08-142541_,0.013,3,50,0.08281874464133102
24,tanh,26,Xception,102,0.00034250364632725075,0.22077920839384002,0.273,21,0.267,RMSProp,32,0.0006568568909618812,run_2018-02-08-140056_,0.013,2,72,0.10187798747318884
24,relu,10,Xception,557,0.00935400780029806,0.875,0.273,43,0.267,Adam,1,1.6804311197793663e-05,run_2018-02-08-131431_,0.013,3,179,0.1936363862374609
24,tanh,26,Xception,102,0.00034250364632725075,0.3896103841917855,0.273,21,0.267,RMSProp,8,0.0006568568909618812,run_2018-02-08-134715_,0.013,2,72,0.10187798747318884
24,tanh,18,Xception,502,0.00045501478271130826,0.78125,0.273,35,0.267,RMSProp,4,0.00012099864328030101,run_2018-02-08-134119_,0.013,3,97,0.0058493838712906365
24,tanh,15,InceptionV3,298,0.008818134863514567,0.84375,0.273,39,0.267,SGD,1,0.000380281961577311,run_2018-02-08-132735_,0.013,2,346,0.18385650793826339
24,tanh,22,MobileNet,498,0.00025648462216023524,0.233766221380853,0.273,21,0.267,RMSProp,16,0.000134233839888681,run_2018-02-08-135505_,0.013,3,100,0.10035949091721118
24,relu,27,ResNet50,625,0.007182635529222077,0.875,0.273,59,0.267,Adam,8,0.0003216988473151285,run_2018-02-08-144733_,0.013,3,55,0.0004072741051776574
24,tanh,19,InceptionResNetV2,150,0.009478180873167607,0.90625,0.273,29,0.267,SGD,1,0.00021535938243043173,run_2018-02-08-131710_,0.013,3,116,0.04431887435227988
24,relu,17,InceptionResNetV2,185,0.00010298931767531302,0.8701298696460662,0.273,22,0.267,SGD,2,0.00018069154183323057,run_2018-02-08-133856_,0.013,3,135,0.17634795343568943
24,tanh,17,ResNet50,684,0.0023286056007376416,0.90625,0.273,57,0.267,Adam,2,0.000256128531785433,run_2018-02-08-133557_,0.013,2,203,0.22815703149877098
24,relu,21,MobileNet,152,0.004440858756346598,0.4155844144232861,0.273,24,0.267,Adam,8,1.3197144852527731e-05,run_2018-02-08-142426_,0.013,2,78,0.0038465833794067983
24,tanh,25,Xception,238,0.0018883732300841306,0.84375,0.273,31,0.267,RMSProp,1,0.0002448877074276911,run_2018-02-08-132152_,0.013,2,61,0.03631828087169122
24,relu,26,MobileNet,346,0.000364016336662245,0.65625,0.273,39,0.267,RMSProp,16,5.041181762400048e-05,run_2018-02-08-151511_,0.013,3,276,0.17071923687657745
24,relu,27,InceptionV3,275,0.0006245707686486292,0.7662337652661584,0.273,23,0.267,RMSProp,2,4.56119804456153e-05,run_2018-02-08-133834_,0.013,3,162,0.19131425130324722
24,relu,24,MobileNet,661,0.005264106174594648,0.890625,0.273,37,0.267,RMSProp,8,6.258964269865545e-05,run_2018-02-08-150802_,0.013,3,61,0.28074665633599216
24,relu,14,Xception,145,0.0016300434539378834,0.390625,0.273,33,0.267,RMSProp,64,1.134874168789118e-05,run_2018-02-08-155602_,0.013,2,294,0.01619592738073965
24,tanh,29,Xception,288,0.0008316085126480701,0.27272726111597834,0.273,22,0.267,RMSProp,32,8.231586126347911e-05,run_2018-02-08-143551_,0.013,3,410,0.21998130902293425
